description,imageUrl,longitude,price,rating,category,latitude,amenities,location,name,id
"Located in Borivali West, Eskay Resorts offers a luxurious retreat with a blend of modern amenities and serene ambiance. The resort features a swimming pool, fitness center, spa, multiple dining options, and well-appointed rooms. Guests have praised the resort for its extensive facilities and tranquil environment, making it an ideal choice for both leisure and business travelers.",https://firebasestorage.googleapis.com/v0/b/vehicle-rental-2.appspot.com/o/hotels%2FEskayResorts.jpg?alt=media&token=5d3df865-1dae-4664-bbc6-3d18246b7ab1,72.85567432109876,7500,4.2,Resorts,19.23087456123478,"Swimming pool, fitness center, spa, multiple dining options, conference facilities",Borivali West,Eskay Resorts,O49VpKrXHJWcS5jguUv6
"Asara Hotel is a budget-friendly accommodation located in Borivali West, Mumbai, near Orchard Mall. The hotel offers a 4-bedroom apartment equipped with amenities such as free Wi-Fi, housekeeping, and a shared kitchen featuring a stove, toaster, and refrigerator. Guests can also enjoy a dining area, sofa, and TV in the shared living space. The property is suitable for families or groups seeking a comfortable stay in the city.",https://firebasestorage.googleapis.com/v0/b/vehicle-rental-2.appspot.com/o/hotels%2FASARA.jpg?alt=media&token=b9d81cca-1904-4cf1-abf8-4ff2df877006,72.85851105730791,11560,4.9,Luxury,19.227094946651462,"Housekeeping, Free Wi-Fi, Dining Area, Caretaker","Borivali West, Mumbai",ASARA,QkG4Umb4j5FtBVuJnK3R
"The hotel is 9.7 km from Bombay Exhibition Centre, located in Mumbai. The hotel providesfree WiFi and a tour desk. The property is around 11.3 km from Aksa Beach, 16.1 km from ISKCON and 17.7 km from Prithvi Theatre. The property provides a 24-hour front desk, room service and currency exchange for guests. At the hotel, every room includes a closet. Complete with a private bathroom, all guest rooms at HOTEL DIVINE are equipped with a flat-screen TV, and certain rooms will provide you with a seating area. Mumbai Domestic Terminal 1 is 19.3 km from the accommodation, while Powai Lake is 19.3 km away. The nearest airport is Chhatrapati Shivaji International Mumbai Airport, 19.3 km from HOTEL DIVINE.",https://firebasestorage.googleapis.com/v0/b/vehicle-rental-2.appspot.com/o/hotels%2FHotelDivine.avif?alt=media&token=bca8f472-9646-43d5-83a5-046bff9e1bdd,72.85512945767105,2473,3.8,Family,19.22877893158261,"Dry Cleaning Service, Smoking Rooms, Intercom, Free Wi-Fi",Borivali West,Hotel Divine,Wpxq37GGYNQ3giuVatLU
"Located in Borivali West, The Byke Delotel offers comfortable accommodations with modern amenities. The hotel provides free Wi-Fi, 24-hour front desk service, and an on-site restaurant serving a variety of cuisines. Guests have praised the hotel's convenient location, making it easy to access local attractions and transportation hubs.",https://firebasestorage.googleapis.com/v0/b/vehicle-rental-2.appspot.com/o/hotels%2FTheBykeDelote.jpg?alt=media&token=fb453524-6bda-4277-a8f9-0b3441b6d186,72.85674329104567,4800,4,Boutique,19.23045678391234,"Free Wi-Fi, Free Wi-Fi, 24-hour front desk",Borivali West,The Byke Delotel,XMiFdbiCtjN5Gub30hXE
"Hotel Nice Stay in Borivali East, Mumbai offers clean, air-conditioned rooms with free Wi-Fi and 24/7 room service. Located near Borivali Railway Station, it provides easy access to local attractions and serves a variety of Indian cuisines.",https://firebasestorage.googleapis.com/v0/b/vehicle-rental-2.appspot.com/o/hotels%2Fhotelnicestay.jpg?alt=media&token=a8c50b9b-8b6c-48c9-8d57-a6e83a05fd69,72.857757438064,2290,4.1,Family,19.22832062653698,"Paid Pickup/Drop, Smoking Rooms, Dry Cleaning Service, 24-hour Room Service","Borivali East, Mumbai",Hotel Nice Stay,bglL57MlJ5rQrBDFEdWY
"​The Maharaja Business Hotel is a luxury business hotel located on the Western Express Highway in Borivali East, Mumbai. It offers well-appointed rooms with modern amenities, including air conditioning, Wi-Fi, and flat-screen TVs. The hotel features an on-site multi-cuisine restaurant and bar, catering to both business and leisure travelers. ​",https://firebasestorage.googleapis.com/v0/b/vehicle-rental-2.appspot.com/o/hotels%2FMaharajaHotel.jpg?alt=media&token=839db2d1-b7ca-4ac1-b274-e20679c57ff8,72.8671364615714,4943,4.7,Business,19.251850452546915,"Fire Extinguishers, CCTV, House keeping, Lounge, Smoking Rooms","Borivali East, Mumbai",The Maharaja Business Hotel,cD8dkf8gGYqDUQVtiBAs
"Conveniently located near Borivali Railway Station, Hotel Borivali Executive offers comfortable accommodations with essential amenities. The hotel provides free Wi-Fi, air-conditioned rooms, and a 24-hour front desk. Guests appreciate its proximity to local attractions and transportation hubs.",https://firebasestorage.googleapis.com/v0/b/vehicle-rental-2.appspot.com/o/hotels%2Fhotelborivaliexecutive11.jpg?alt=media&token=dc2d6572-3ca4-48e6-a20e-bfdc9e491b95,72.8598123456789,6500,3.5,Luxury,19.22904567891234,"Free Wi-Fi, air-conditioned rooms, 24-hour front desk",Borivali East,Hotel Borivali Executive,cofw20ihNAdLV2dufF9P
"​Super Hotel O Palace Inn Near Don Bosco (Borivali) Metro Station is a 3-star hotel located in Borivali West, Mumbai. The hotel offers air-conditioned rooms with private bathrooms, flat-screen TVs, and free Wi-Fi. Guests can enjoy a complimentary continental breakfast and have access to a shared kitchen. Additional amenities include a 24-hour front desk, daily housekeeping, and luggage storage. The hotel is conveniently situated near attractions like Kanheri Caves and Bombay Exhibition Centre, and is approximately 17 km from Chhatrapati Shivaji International Airport .​",https://firebasestorage.googleapis.com/v0/b/vehicle-rental-2.appspot.com/o/hotels%2Fsuperoyohotelneardonbosco.jpg?alt=media&token=d359ddad-2822-438b-b124-849694a0e216,72.82769318280923,2280,3.7,Boutique,19.226752212701406,"Free breakfast, Room service, Laundry facilities, Non-smoking throughout, Luggage storage","40/43, Opposite Mangalmurti Hospital, Gorai Naka, Borivali west",Super Hotel O Palace Inn,gZN6FBT9BQa47znA0zU2
"​Avirahi Hotel is a budget-friendly accommodation located in Kandivali West, Mumbai, just a short walk from Kandivali railway station. The hotel offers air-conditioned rooms with free Wi-Fi, flat-screen TVs, and private bathrooms, with some rooms featuring city views or fireplaces. Amenities include a 24-hour front desk, daily housekeeping, and free private parking. Guests can dine at the on-site family-friendly restaurant serving Asian cuisine, including halal options. The hotel is conveniently situated near attractions like the Bombay Exhibition Centre (7.5 km) and Kanheri Caves (9.2 km) .​",https://firebasestorage.googleapis.com/v0/b/vehicle-rental-2.appspot.com/o/hotels%2Fhotelavirahi.jpg?alt=media&token=196822af-1863-4f59-bda9-daa86c12f022,72.85125385340547,3500,4.6,Friendly,19.20351302566448,"Smoking Rooms, 24-hour Room Service, Paid Railway Transfers, Free Wi-Fi","Kandivali West, Mumbai",Hotel Avirahi,h0QcRnsWPYmRyZEPGIe3
"Located in Borivali West, Super OYO Hotel Palace Inn offers comfortable accommodations with essential amenities. The hotel provides air-conditioned rooms, free Wi-Fi, and a 24-hour front desk. Guests appreciate its proximity to Don Bosco Metro Station, making it convenient for travel within Mumbai.",https://firebasestorage.googleapis.com/v0/b/vehicle-rental-2.appspot.com/o/hotels%2FSuperOYOHotelPalace.jpg?alt=media&token=a39bd078-59a0-4f6f-9bf2-b4b5676fc11f,72.85897654321099,3000,3.5,Luxury,19.23124567891234,"Air-conditioned rooms, free Wi-Fi, 24-hour front desk",Borivali West,Super OYO Hotel Palace,kL11XzpWhVnB6pbUZ9O7
"Located in Borivali West, Vala Janu Hotel offers comfortable accommodations with essential amenities. The hotel provides air-conditioned rooms, free Wi-Fi, and an on-site restaurant. Guests appreciate its proximity to local attractions and transportation hubs.",https://firebasestorage.googleapis.com/v0/b/vehicle-rental-2.appspot.com/o/hotels%2FValaJanuHotel.jpg?alt=media&token=7d055aa7-420a-4dfa-86f8-398eac648d9c,72.85081288465788,3500,3,Resorts,19.244505016490336,"free Wi-Fi, Air-conditioned rooms,  on-site restaurant",Borivali West,Vala Janu Hotel,ntBHusHD7682uHlfa90T
"FabHotel Antlers is a budget-friendly 3-star hotel in Borivali West, Mumbai. It offers modern rooms with free Wi-Fi, room service, and daily housekeeping. Conveniently located near Marve Beach and other local attractions.",https://firebasestorage.googleapis.com/v0/b/vehicle-rental-2.appspot.com/o/hotels%2FfabhotelAntlers1111.jpg?alt=media&token=ac7f43e6-91b7-4f71-84d8-4a803f24b4fe,72.8281748,2110,3.9,Budget,19.226263604618197,"Fireplace, Air Conditioning, First-aid Services, Parking","Borivali West, Mumbai",FabHotel Antlers ,s3ov5VP9U0pPiNekMyR4
"Located in Borivali West, FabHotel Peralz offers comfortable accommodations with essential amenities. The hotel provides free Wi-Fi, air-conditioned rooms, and a 24-hour front desk. Guests appreciate its proximity to Borivali Railway Station, making it convenient for travel within Mumbai.",https://firebasestorage.googleapis.com/v0/b/vehicle-rental-2.appspot.com/o/hotels%2FFabHotelPeralz.jpg?alt=media&token=6e321b18-48c9-4fac-9f7a-c363b61e9b10,72.85789123456789,2550,3,Friendly,19.23456789123456,"Free Wi-Fi,  air-conditioned rooms, 24-hour front desk"," Borivali West,",FabHotel Peralz,sf1aCwgfFvb3rZZTrwl3
